competition,season,match_date,start_time,venue,home_team,away_team,match_stage,match_status,toss_winner,toss_decision,winning_team,result_type,result_margin_value,result_margin_type,result_method,result_source,result_override_reason,scheduled_balls,revised_balls,target_runs,revised_target_runs
The Hundred Women,2026,2026-07-21,14:45,Kia Oval,MI London,SunRisers Leeds,League,Completed,,,SunRisers Leeds,Wickets,7,Wickets,Standard,Calculated,,,,,
The Hundred Women,2026,2026-07-22,15:00,Utilita Bowl,Southern Brave,Welsh Fire,League,Completed,,,Southern Brave,Runs,8,Runs,Standard,Calculated,,,,,
The Hundred Women,2026,2026-07-23,15:00,Lord's,London Spirit,Manchester Super Giants,League,Completed,,,Manchester Super Giants,Wickets,7,Wickets,Standard,Calculated,,,,,
The Hundred Women,2026,2026-07-24,15:00,Edgbaston,Birmingham Phoenix,Trent Rockets,League,Completed,,,Trent Rockets,Wickets,9,Wickets,Standard,Calculated,,,,,
The Hundred Women,2026,2026-07-25,11:00,Headingley,SunRisers Leeds,Southern Brave,League,Completed,,,Southern Brave,Wickets,5,Wickets,Standard,Calculated,,,,,
The Hundred Women,2026,2026-07-25,14:30,Sophia Gardens,Welsh Fire,MI London,League,Completed,,,Welsh Fire,Runs,60,Runs,Standard,Calculated,,,,,
The Hundred Women,2026,2026-07-26,11:00,Emirates Old Trafford,Manchester Super Giants,Birmingham Phoenix,League,Scheduled,,,,Abandoned,,,Standard,Manual,Match abandoned due to rain,,,,
The Hundred Women,2026,2026-07-26,14:30,Trent Bridge,Trent Rockets,London Spirit,League,Completed,,,London Spirit,Wickets,5,Wickets,Standard,Calculated,,,,,
The Hundred Women,2026,2026-07-27,15:00,Utilita Bowl,Southern Brave,MI London,League,Completed,,,Southern Brave,Runs,1,Runs,Standard,Calculated,,,,,
The Hundred Women,2026,2026-07-28,15:00,Headingley,SunRisers Leeds,Manchester Super Giants,League,Scheduled,,,,,,,,,,,,,
The Hundred Women,2026,2026-07-29,11:30,Sophia Gardens,Welsh Fire,Trent Rockets,League,Scheduled,,,,,,,,,,,,,
The Hundred Women,2026,2026-07-29,15:00,Kia Oval,MI London,London Spirit,League,Scheduled,,,,,,,,,,,,,
The Hundred Women,2026,2026-07-30,15:00,Utilita Bowl,Southern Brave,Birmingham Phoenix,League,Scheduled,,,,,,,,,,,,,
The Hundred Women,2026,2026-07-31,15:00,Emirates Old Trafford,Manchester Super Giants,Trent Rockets,League,Scheduled,,,,,,,,,,,,,
The Hundred Women,2026,2026-08-01,11:00,Edgbaston,Birmingham Phoenix,Welsh Fire,League,Scheduled,,,,,,,,,,,,,
The Hundred Women,2026,2026-08-01,14:30,Lord's,London Spirit,Southern Brave,League,Scheduled,,,,,,,,,,,,,
The Hundred Women,2026,2026-08-02,11:00,Trent Bridge,Trent Rockets,SunRisers Leeds,League,Scheduled,,,,,,,,,,,,,
The Hundred Women,2026,2026-08-02,14:30,Kia Oval,MI London,Manchester Super Giants,League,Scheduled,,,,,,,,,,,,,
The Hundred Women,2026,2026-08-03,15:00,Sophia Gardens,Welsh Fire,Southern Brave,League,Scheduled,,,,,,,,,,,,,
The Hundred Women,2026,2026-08-04,15:00,Headingley,SunRisers Leeds,London Spirit,League,Scheduled,,,,,,,,,,,,,
The Hundred Women,2026,2026-08-05,11:30,Emirates Old Trafford,Manchester Super Giants,Welsh Fire,League,Scheduled,,,,,,,,,,,,,
The Hundred Women,2026,2026-08-05,15:00,Trent Bridge,Trent Rockets,Birmingham Phoenix,League,Scheduled,,,,,,,,,,,,,
The Hundred Women,2026,2026-08-06,15:00,Lord's,London Spirit,MI London,League,Scheduled,,,,,,,,,,,,,
The Hundred Women,2026,2026-08-07,15:00,Edgbaston,Birmingham Phoenix,SunRisers Leeds,League,Scheduled,,,,,,,,,,,,,
The Hundred Women,2026,2026-08-08,11:00,Kia Oval,MI London,Trent Rockets,League,Scheduled,,,,,,,,,,,,,
The Hundred Women,2026,2026-08-08,14:30,Utilita Bowl,Southern Brave,Manchester Super Giants,League,Scheduled,,,,,,,,,,,,,
The Hundred Women,2026,2026-08-09,11:00,Headingley,SunRisers Leeds,Welsh Fire,League,Scheduled,,,,,,,,,,,,,
The Hundred Women,2026,2026-08-09,14:30,Lord's,London Spirit,Birmingham Phoenix,League,Scheduled,,,,,,,,,,,,,
The Hundred Women,2026,2026-08-10,15:00,Trent Bridge,Trent Rockets,Southern Brave,League,Scheduled,,,,,,,,,,,,,
The Hundred Women,2026,2026-08-11,15:00,Emirates Old Trafford,Manchester Super Giants,SunRisers Leeds,League,Scheduled,,,,,,,,,,,,,
The Hundred Women,2026,2026-08-12,11:30,Sophia Gardens,Welsh Fire,London Spirit,League,Scheduled,,,,,,,,,,,,,
The Hundred Women,2026,2026-08-12,15:00,Edgbaston,Birmingham Phoenix,MI London,League,Scheduled,,,,,,,,,,,,,
